HMDB_ID,compound_name,Molecular_Formula,MonoisotopicMass,smiles,inchikey
HMDB0047965,TG(14:1(9Z)/18:1(9Z)/20:3n6),C55H96O6,852.7206908,[H][C@](COC(=O)CCCCCCC\C=C/CCCC)(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC,CGPMDMDZQFZLHH-JOBYQNAZSA-N
HMDB0047960,TG(14:1(9Z)/18:1(9Z)/22:1(13Z)),C57H104O6,884.783291,[H][C@@](COC(=O)CCCCCCCCCCC\C=C/CCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC,GBTKABUIAQMAPV-JEQUJCETSA-N
HMDB0047967,"TG(14:1(9Z)/18:1(9Z)/22:2(13Z,16Z))",C57H102O6,882.767641,[H][C@@](COC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC,CNRGDEVLIJIREE-CPRBWVNASA-N
HMDB0048079,"TG(14:1(9Z)/18:2(9Z,12Z)/20:2n6)",C55H96O6,852.7206908,[H][C@@](COC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,FHMSYFQZXWGGAR-OKEXGHLUSA-N
HMDB0048075,"TG(14:1(9Z)/18:2(9Z,12Z)/22:1(13Z))",C57H102O6,882.767641,[H][C@@](COC(=O)CCCCCCCCCCC\C=C/CCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,RQEKPMWGSCALDR-UQXSDYQWSA-N
HMDB0048082,"TG(14:1(9Z)/18:2(9Z,12Z)/22:2(13Z,16Z))",C57H100O6,880.7519909,[H][C@@](COC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,POHNOIJAASRKQU-DBWLQLOESA-N
HMDB0048096,"TG(14:1(9Z)/18:3(6Z,9Z,12Z)/20:1(11Z))",C55H96O6,852.7206908,[H][C@@](COC(=O)CCCCCCCCC\C=C/CCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC,PHSOZYZQNQNQAK-CVHNYEHWSA-N
HMDB0048098,"TG(14:1(9Z)/18:3(6Z,9Z,12Z)/22:1(13Z))",C57H100O6,880.7519909,[H][C@@](COC(=O)CCCCCCCCCCC\C=C/CCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC,CTDMUXKSVFRWMX-MPOJCHKNSA-N
HMDB0048257,"TG(14:1(9Z)/18:3(9Z,12Z,15Z)/20:1(11Z))",C55H96O6,852.7206908,[H][C@@](COC(=O)CCCCCCCCC\C=C/CCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC,DSZMYGQJZQQSEL-XDBIBJELSA-N
HMDB0048259,"TG(14:1(9Z)/18:3(9Z,12Z,15Z)/22:1(13Z))",C57H100O6,880.7519909,[H][C@@](COC(=O)CCCCCCCCCCC\C=C/CCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC,YEHPWJBHXFGRBU-OCOJWXJXSA-N
